COMPANY,PKS_CODE,INSTRUMENT_SERIAL_NUMBER,OIL_WM,VM,OIL_DM,NOS,FFA,DOBI,RILL_MUTU_KADAR_AIR,INC_MUTU_KADAR_AIR
N00D,DP03,,38.06,7.43,41.11,54.51,1.18,0,7.43,red
N00D,DP03,,38.75,5.88,41.18,55.36,0.55,0,5.88,green
N00D,DP03,,40.21,3.73,41.77,56.06,0,0,3.73,green
N006,FP03,,52.73,4.83,55.41,42.44,0,0,4.83,green
[NULL],7F08,,40.93,04.09,42.68,54.98,0,0,04.09,orange
N006,FP04,,41.14,6.63,44.06,52.23,7.16,0,6.63,green
N006,FP04,,45.02,5.47,47.63,49.51,2.89,0,5.47,green
N006,FP05,,47.03,5.48,49.75,47.5,0,0,5.48,green
N003,CP09,,43.28,7.97,47.03,48.75,1.67,0,7.97,red
N003,CP09,,46.24,6.74,49.59,47.01,0.94,0,6.74,green
N003,CP09,,42.93,8.28,46.81,48.79,01.04,0,8.28,red
N003,CP09,,44.7,6.78,47.95,48.52,0.64,0,6.78,green
N003,CP09,,48.47,5.1,51.07,46.44,0.4,0,5.1,green
N00D,DP14,91870381,45.85,05.09,48.31,49.06,0,0,05.09,green
N006,FP06,,49.24,7.82,53.42,42.94,0,0,7.82,red
N006,FP06,,48.37,8.1,52.63,43.53,0,0,8.1,red
N006,FP04,,31.4,9.35,34.63,59.26,4.49,0,9.35,red
N006,FP04,,32.6,8.22,35.52,59.18,0,0,8.22,red
N006,FP05,,40.29,8.45,44.01,51.26,0,0,8.45,red
N006,FP03,,49.5,5.88,52.6,44.61,0,0,5.88,green
N003,CP10,,49.44,5.93,52.56,44.63,0,0,5.93,green
N00D,DP15,91870379,40.07,7.76,43.44,52.17,2.52,0,7.76,red
N00D,DP03,,33.18,7.93,36.04,58.89,02.03,0,7.93,red
N006,FP11,,50.23,2.16,51.33,47.62,0,0,2.16,green
N006,FP11,,50.23,2.16,51.33,47.62,0,0,2.16,green
N006,FP11,,47.26,0,47.26,52.74,0,0,0,green
N006,FP04,,39.53,8.77,43.33,51.7,5.67,0,8.77,red
N003,CP09,,40.04,10.22,44.6,49.73,2.17,0,10.22,red
N003,CP09,,45.76,6.16,48.76,48.09,0.06,0,6.16,green
N003,CP09,,43.89,7.47,47.43,48.64,0.35,0,7.47,red
N003,CP09,,42.18,8.53,46.11,49.29,1.39,0,8.53,red
N003,CP09,,48.86,5.3,51.59,45.85,0.14,0,5.3,green
N00D,DP03,,39.15,4.61,41.04,56.24,0.54,0,4.61,green
N00D,DP15,91870379,42.9,4.73,45.03,52.37,5,0,4.73,green
N00D,DP03,,36.64,6.78,39.3,56.59,0.9,0,6.78,green
N006,FP11,,44.02,6,46.83,49.98,0,0,6,green
N006,FP11,,44.02,6,46.83,49.98,0,0,6,green
N006,FP05,,46.03,6.91,49.45,47.06,0,0,6.91,green
N006,FP04,,42.4,7.17,45.67,50.43,0,0,7.17,red
N006,FP04,,43.32,4.26,45.25,52.42,0,0,4.26,green
N00D,DP15,91870379,42.16,5.66,44.69,52.18,4.84,0,5.66,green
N003,CP10,,47.4,5.73,50.28,46.88,0,0,5.73,green
N003,CP09,,49.49,4.95,52.06,45.57,0,0,4.95,green
N003,CP09,,46.75,06.06,49.76,47.19,01.07,0,06.06,green
N003,CP09,,44.69,7.58,48.36,47.73,0.96,0,7.58,red
N003,CP09,,45.09,7.43,48.71,47.48,1.74,0,7.43,red
N003,CP09,,48.49,5.39,51.25,46.12,0,0,5.39,green
N006,FP11,,48.12,0.26,48.24,51.62,0,0,0.26,green
N006,FP11,,48.12,0.26,48.24,51.62,0,0,0.26,green
N006,FP06,,45.32,10.22,50.48,44.45,0,0,10.22,red
[NULL],7F08,,44.38,5.34,46.88,50.29,0,0,5.34,orange
N006,FP06,,45.47,10.33,50.71,44.19,0,0,10.33,red
N006,FP06,,43.78,11.31,49.36,44.92,0,0,11.31,red
N006,FP05,,39.89,8.89,43.78,51.22,0,0,8.89,red
N006,FP06,,44.17,11.42,49.86,44.41,0,0,11.42,red
N00D,DP11,91861445,39.28,4.45,41.11,56.27,0,0,4.45,green
N00D,DP11,91861445,35.97,3.54,37.29,60.48,0,0,3.54,green
N00D,DP11,91861445,36.03,6.27,38.44,57.71,0,0,6.27,green
N00D,DP11,91861445,24.12,9.24,26.57,66.65,0,0,9.24,red
N00D,DP11,91861445,33.44,7.69,36.23,58.86,0,0,7.69,red
N00D,DP11,91861445,29.04,10.4,32.41,60.56,0,0,10.4,red
N00D,DP17,,46.76,4.27,48.85,48.97,0,0,4.27,green
N006,FP05,,46.61,6.45,49.82,46.95,0,0,6.45,green
N006,FP05,,46.61,6.45,49.82,46.95,0,0,6.45,green
N003,CP09,,46.88,6.7,50.25,46.41,0.61,0,6.7,green
N003,CP09,,47.88,5.51,50.67,46.61,0.55,0,5.51,green
N003,CP09,,45.51,7.1,48.99,47.39,1.52,0,7.1,red
N003,CP09,,43.96,7.89,47.72,48.15,2.1,0,7.89,red
N003,CP09,,46.57,6.2,49.65,47.23,0.32,0,6.2,green
N006,FP03,,50.55,6.98,54.34,42.47,0,0,6.98,green
N00D,DP03,,35.19,8.76,38.56,56.05,2.68,0,8.76,red
N00D,DP14,91870381,47.47,2.84,48.86,49.69,0,0,2.84,green
N00D,DP14,91870381,0,0,0,0,0,0,0,green
N00D,DP14,91870381,46.61,2.21,47.66,51.18,0,0,2.21,green
N00D,DP03,,38.7,6.97,41.6,54.33,1.97,0,6.97,green
N006,FP03,,49.3,8.91,54.12,41.79,0,0,8.91,red
N003,CP09,,40.5,9.23,44.61,50.27,2.12,0,9.23,red
N003,CP09,,41.45,9.34,45.71,49.22,1.75,0,9.34,red
N003,CP09,,40.11,10.02,44.58,49.87,2.74,0,10.02,red
N003,CP09,,46.05,6.13,49.06,47.82,0,0,6.13,green
N003,CP09,,46.29,6.65,49.58,47.07,0.68,0,6.65,green
[NULL],7F07,,37.11,10.19,41.32,52.71,0,0,10.19,orange
[NULL],7F08,,39.77,5.57,42.11,54.66,0,0,5.57,orange
N00D,DP02,,42.94,6.53,45.93,50.54,0,0,6.53,green
N00D,DP02,,39.13,7.99,42.53,52.87,0,0,7.99,red
N00D,DP02,,40.6,6.9,43.61,52.5,0,0,6.9,green
N00D,DP02,,35,09.01,38.46,55.99,0,0,09.01,red
N00D,DP02,,34.11,9.25,37.59,56.64,0,0,9.25,red
N00D,DP14,91870381,41.21,9.88,45.72,48.91,0,0,9.88,red
N00D,DP13,,41.45,6.92,44.53,51.64,0,0,6.92,green
N00D,DP11,91861445,43.61,0.95,44.03,55.44,0,0,0.95,green
N00D,DP11,91861445,44.63,02.08,45.57,53.3,0,0,02.08,green
